venue_name,main_team_id,name_display_club,index_runs,index_hr,index_hits,index_bb,index_so,index_bacon,index_hardhit,year
Oakland Coliseum,133,Athletics,90,85,96,95,97,94,100,2021
Rogers Centre,141,Blue Jays,98,117,98,95,98,96,100,2021
Yankee Stadium,147,Yankees,96,111,95,108,107,98,100,2021
Wrigley Field,112,Cubs,100,104,98,103,103,100,101,2021
Oracle Park,137,Giants,90,79,97,95,103,98,104,2021
T-Mobile Park,136,Mariners,90,99,94,99,106,96,97,2021
Chase Field,109,D-backs,104,89,104,96,96,102,97,2021
Tropicana Field,139,Rays,88,84,94,95,112,98,95,2021
Progressive Field,114,Guardians,98,102,99,98,105,100,98,2021
Great American Ball Park,113,Reds,110,126,101,107,107,105,99,2021
Dodger Stadium,119,Dodgers,96,124,97,91,103,97,100,2021
Citizens Bank Park,143,Phillies,106,114,102,102,100,102,98,2021
Kauffman Stadium,118,Royals,102,76,108,92,88,102,101,2021
Busch Stadium,138,Cardinals,88,81,96,100,92,93,96,2021
Citi Field,121,Mets,96,102,96,100,106,99,97,2021
Rate Field,145,White Sox,100,113,97,104,104,100,99,2021
Daikin Park,117,Astros,100,106,99,103,100,99,95,2021
Nationals Park,120,Nationals,108,109,105,102,95,103,103,2021
Truist Park,144,Braves,106,103,102,104,101,103,103,2021
American Family Field,158,Brewers,96,105,94,109,110,99,98,2021
loanDepot park,146,Marlins,92,81,98,97,101,98,96,2021
Oriole Park at Camden Yards,110,Orioles,110,124,104,96,93,101,99,2021
Angel Stadium,108,Angels,104,107,101,106,99,102,101,2021
Target Field,142,Twins,98,99,100,97,98,99,105,2021
Fenway Park,111,Red Sox,114,91,108,106,98,108,107,2021
Comerica Park,116,Tigers,98,84,101,96,97,100,104,2021
Petco Park,135,Padres,92,98,94,106,106,97,104,2021
PNC Park,134,Pirates,102,81,102,104,91,99,98,2021
Coors Field,115,Rockies,128,112,119,93,84,111,102,2021
